City,density,index,crimelvl,crimeincr,homebreak,mugrob,carsteal,carthingstl,attack,insult,discrim,probdrugs,probppty,probaslt,probbribe,safeday,safenight
Antipolo,2899,50.6,54.36,58.14,55.97,55.72,38.57,41.83,52.7,55.43,28.26,62.5,59.88,51.55,63.64,79.67,47.38
Bacolod City,3738,50.27,50.28,55.16,61.19,52.16,43.89,52.79,44.66,42.57,32.89,56.58,63.7,52.11,70.39,72.23,52.11
Cagayan de Oro,1765,47.24,49.66,43.99,55.81,59.29,42.27,48.62,48.62,37.79,31.98,50.6,55.38,46.45,56.82,71.6,51.88
Cebu City,3061,52.18,55.09,56.09,53.55,55.12,40.12,49.09,49.89,41.46,33.67,66.33,58.22,53.96,71.34,65.47,41.62
Dasmarinas,7801,67.13,65.33,66.83,79.88,78.79,62.49,71.18,70.1,67.05,47.73,75,77.7,67.92,76.14,66.83,28.79
Davao City,727,27.74,26.82,26.23,33.44,31.05,26.07,27.87,28.49,25.87,20.88,33.38,33.43,28.8,31.81,81.83,74.45
General Santos,1415,45.03,40,52.94,44.12,54.41,42.65,47.06,45.57,51.47,35.27,42.65,51.47,42.65,67.65,75,57.35
Iloilo,5842,41.38,41.17,38.62,45.92,43.83,39.29,41.17,40.66,37.9,29.88,49.8,49.13,44.07,48.03,69.67,58.66
Las Pinas,18547,36.89,33.79,32.86,43.97,47.67,25.45,35.92,42.12,35.42,16,48.08,50.47,39.34,50.96,86.56,56.01
Makati,29189,38.39,39.55,35.3,41.37,49.62,33.77,36.27,36.63,35.97,15.31,48.74,43.07,37.97,60.61,79.03,61.51
Manila,73920,64.63,73.16,60.72,60.64,68.01,59.67,61.88,61.62,54.96,40.06,70.74,71.04,70.26,83.06,54.01,29.33
Pasig City,16574,45.72,40.61,31.04,61.35,51.5,46.19,55.28,49.22,39.17,23.28,57.26,59.83,47.71,61.67,74.22,53.89
Quezon City,17239,60.99,66.71,61.19,55.49,68.9,58.05,61.64,61.84,52.03,28.77,66.33,69.63,65.73,82.19,60.22,34.89
Taguig,19613,52.5,55.39,49.29,51.33,55.91,42.09,45.82,55.25,51.43,34.72,70.14,61.47,56.56,68.06,71.69,44.06
Zamboanga,691,54.74,62.86,58.9,54.02,54.75,56.61,45.93,54.75,41.94,42.97,63.33,61.37,58.9,57.81,62.47,46.76
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
